TIME,Aircraft.state.pos_ENU[0],Aircraft.state.pos_ENU[1],Aircraft.state.pos_ENU[2],Aircraft.state.pos_mag,Aircraft.state.vel_ENU[0],Aircraft.state.vel_ENU[1],Aircraft.state.vel_ENU[2],Aircraft.state.vel_mag,Aircraft.state.acc_ENU[0],Aircraft.state.acc_ENU[1],Aircraft.state.acc_ENU[2],Aircraft.state.acc_mag,Aircraft.forces.lift_ENU[0],Aircraft.forces.lift_ENU[1],Aircraft.forces.lift_ENU[2],Aircraft.forces.lift_mag,Aircraft.forces.weight_ENU[0],Aircraft.forces.weight_ENU[1],Aircraft.forces.weight_ENU[2],Aircraft.forces.weight_mag,Aircraft.forces.drag_ENU[0],Aircraft.forces.drag_ENU[1],Aircraft.forces.drag_ENU[2],Aircraft.forces.drag_mag,Aircraft.forces.thrust_ENU[0],Aircraft.forces.thrust_ENU[1],Aircraft.forces.thrust_ENU[2],Aircraft.forces.thrust_mag,Aircraft.forces.net_force_ENU[0],Aircraft.forces.net_force_ENU[1],Aircraft.forces.net_force_ENU[2],Aircraft.forces.net_force_mag,Atmosphere.rho
24.0,6273.54863754,0.0,10072.9115568,11866.8007373,260.448656567,0.0,4.33168458427,260.484675555,-0.0501314436569,0.0,0.0147172405332,0.0522470938143,0.0,0.0,346172.818006,346172.818006,0.0,0.0,-343350.0,343350.0,-138754.600528,-0.0,-2307.71458769,532.752222095,137000,0,0,137000,-1754.60052799,0.0,515.103418661,0,0.409572395175
26.0,6794.2454249,0.0,10081.6337949,12157.3480195,260.34839368,0.0,4.36111906534,260.384917864,-0.0429995045781,0.0,-0.00344973873046,0.0431376644161,0.0,0.0,345549.36841,345549.36841,0.0,0.0,-343350.0,343350.0,-138504.98266,-0.0,-2320.10926584,531.998606569,137000,0,0,137000,-1504.98266024,0.0,-120.740855566,0,0.409149718056
28.0,7314.77021424,0.0,10090.3422341,12462.7793725,260.262394671,0.0,4.35421958788,260.298815418,-0.0362710039719,0.0,-0.0200373179552,0.0414376620958,0.0,0.0,344961.95815,344961.95815,0.0,0.0,-343350.0,343350.0,-138269.485139,-0.0,-2313.26427838,531.269549386,137000,0,0,137000,-1269.48513902,0.0,-701.306128432,0,0.40872416878
30.0,7835.14991956,0.0,10098.970524,12781.9708929,260.189852663,0.0,4.31414495197,260.225616101,-0.02995486781,0.0,-0.0350759066098,0.0461260591207,0.0,0.0,344411.290704,344411.290704,0.0,0.0,-343350.0,343350.0,-138048.420373,-0.0,-2288.94743506,530.568040838,137000,0,0,137000,-1048.42037335,0.0,-1227.65673134,0,0.408299292741
32.0,8355.40980542,0.0,10107.4585103,13113.8701592,260.129942927,0.0,4.24399313875,260.164560779,-0.0240567789006,0.0,-0.0486030029227,0.0542308077035,0.0,0.0,343897.772676,343897.772676,0.0,0.0,-343350.0,343350.0,-137841.987262,-0.0,-2248.87777849,529.896657457,137000,0,0,137000,-841.987261522,0.0,-1701.10510229,0,0.407878327105
34.0,8875.57346416,0.0,10115.7520845,13457.4977077,260.081829369,0.0,4.1467871329,260.114885794,-0.018579398203,0.0,-0.0606622872662,0.0634437320305,0.0,0.0,343421.538458,343421.538458,0.0,0.0,-343350.0,343350.0,-137650.278937,-0.0,-2194.71851194,529.257577397,137000,0,0,137000,-650.278937104,0.0,-2123.18005432,0,0.407464206742
36.0,9395.6628053,0.0,10123.8030097,13811.9465293,260.044670573,0.0,4.02546255837,260.075825563,-0.0135225856114,0.0,-0.0713027759953,0.0725737293121,0.0,0.0,342982.474077,342982.474077,0.0,0.0,-343350.0,343350.0,-137473.290496,-0.0,-2128.07123657,528.652597238,137000,0,0,137000,-473.290496398,0.0,-2495.59715984,0,0.407059571548
38.0,9915.69805611,0.0,10131.5687237,14176.3801001,260.017625402,0.0,3.88285700638,260.046615241,-0.00888361938143,0.0,-0.0805780332638,0.081066257703,0.0,0.0,342580.240195,342580.240195,0.0,0.0,-343350.0,343350.0,-137310.926678,-0.0,-2050.47135894,528.083150002,137000,0,0,137000,-310.92667835,0.0,-2820.23116423,0,0.406666774962
40.0,10435.6977724,0.0,10139.0121255,14550.0293773,259.999858163,0.0,3.72170093985,260.026493463,-0.00465741337406,0.0,-0.088545438105,0.0886678414564,0.0,0.0,342214.294204,342214.294204,0.0,0.0,-343350.0,343350.0,-137163.009468,-0.0,-1963.38453743,527.550324209,137000,0,0,137000,-163.009468092,0.0,-3099.09033367,0,0.406287893541
42.0,10955.6788591,0.0,10146.1013457,14932.1891155,259.990543336,0.0,3.54461006364,260.014705132,-0.000836731310041,0.0,-0.0952655039515,0.0952691784494,0.0,0.0,341883.911407,341883.911407,0.0,0.0,-343350.0,343350.0,-137029.285596,-0.0,-1868.20404505,527.054883756,137000,0,0,137000,-29.2855958514,0.0,-3334.2926383,0,0.405924737407
